actor_name,birth_year,known_for,actor_role,actor_awards
Katie Reese,0,"Dos colgaos muy fumaos en Navidad, SkyFly",Reparto,0
Sarah Sypniewski,0,0,Reparto,AltFF Alternative Film Festival
Shinae Chae,0,"A Bear Lands on Earth, The Greatest Use",Reparto,0
Oliver Rotunno,0,"My Red Neck Neighbor, The Bet","Reparto,  Dirección de arte,  Producción",0
Macauley Keeper,0,"The Missing: Baptiste, Little Crackers","Reparto,  Producción,  Guion",Rob Knox London Film Festival
Juan Erijimovich,0,0,Reparto,0
Lisandro Priori,0,Panchos,Reparto,0
Nicolas Sörvik,0,0,Reparto,0
Santiago Westberg,0,"La Hermandad, Panchos","Reparto,  Dirección,  Guion",0
Mollie Papouloute,0,"Wilder Woods - Supply & Demand, Red",Reparto,0
Chris Jordan,0,0,Reparto,0
Sesen Debesai,0,0,Reparto,0
Antines Davis,0,0,Reparto,0
Wilma Elles,1986,"Islamophobia, Öyle Bir Geçer Zaman ki","Reparto,  Guion","Action on Film International Film Festival, USA, Hollywood Reel Independent Film Festival"
Wade Green,0,0,Reparto,0
Lanae Holbrook,0,0,Reparto,0
Jules Kanarek,0,0,Reparto,0
Bernard Bullen,0,"Te esperaré en Venus, Betty en NY","Reparto,  Equipos adicionales",Idyllwild International Festival of Cinema
Cristina Zaragozá,0,El perro que mordió a mi madre,Reparto,0
Silvia Valero,0,"Pedazos de mí, Zhao",Reparto,0
Javier Frasquet,0,"God Willing, Cómo Escapar de San José",Reparto,0
Musto Pelinkovicci,0,"La extraña que hay en ti, On the Rocks","Reparto,  Guion,  Producción",0
Beejan Land,0,"Untitled Frederic Bourdin Project, The Regulars","Reparto,  Producción",0
Malachi Brown,0,0,Reparto,0
Albert Rudbeck Lindhardt,2001,"Jinetes de la justicia, La elegida",Reparto,Chinese American Film Festival (C.A.F.F.)
Henrik Vestergaard,1972,"Ditte & Louise, Alex","Reparto,  Guion,  Dirección","Certamen Internacional de Cortos Ciudad de Soria, Basta Fest - Bajina Basta International Short Fiction Film Festival"
Jesse LaTourette,0,0,"Reparto,  Guion,  Producción","CinEuphoria Awards, Mammoth Film Festival"
Marc Menchaca,1975,"Homeland, ""Shes Lost Control""","Reparto,  Equipos adicionales,  Dirección","Breckenridge Festival of Film, SXSW Film Festival"
Claire Morrissey,0,"The Octopus, Rapt",Reparto,0
Lexi Minetree,0,The Murdaugh Murders,"Reparto,  Producción",0
Julien Crane,0,"A Date with Death, Nghtmre & Idk - Trials",Reparto,0
Andrzej Walden,0,"Antygona, Spies of Warsaw",Reparto,0
Weronika Humaj,0,"Las inocentes, Teatr Telewizji","Reparto,  Música,  Banda sonora",0
Antoni Gryzik,0,"Grzeszny zywot Franciszka Buly, Strzepy",Reparto,0
Kuba Kochanek,0,"Pod tym samym niebem, Mercy",Reparto,0
Dagna Dywicka,0,"Teatr Telewizji, Na dobre i na zle","Reparto,  Dirección de la segunda unidad o asistencia a dirección",0
Bridget Avildsen,1993,"""How to Get the Mans Foot Outta Your Ass"", Remnants","Reparto,  Arte,  Equipos adicionales",0
Alana Schoen,0,"Hollow Bedrooms, The Walking Dead","Reparto,  Especialistas,  Equipos adicionales",0
Arthur White,0,0,"Reparto,  Producción,  Equipos adicionales",0
Marieve Herington,1988,"Los Green en la gran ciudad, Instagrammie","Reparto,  Guion,  Producción","Annie Awards, Daytime Emmy Awards"
Rich Ceraulo Ko,0,0,"Reparto,  Producción,  Dirección",0
Peggy Miley,1941,"Bandits, El plan B",Reparto,"Conocido/a por, Más de esta persona"
Nicole Pacent,0,"Mentes criminales, Call Me Kat","Reparto,  Guion,  Producción",Indie Series Awards
Eduardo Gómez,0,"Furious Desires, Al otro lado",Reparto,Idyllwild International Festival of Cinema
Job Huerta,0,"Control Z, Skyvory",Reparto,0
Lilian Sánchez,0,0,Reparto,0
Keon Black,0,"The Last Assignment, Love & Elevators",Reparto,0
Shea L Davis,0,"ER Undercover, Guilt",Reparto,0
Emily Chifley,0,Dive,"Reparto,  Localización",0
Leah Pan,0,0,Reparto,0
Ron Smyck,0,"Spiderhead, Nekrotronic",Reparto,0
Frederico Star,0,"Last King of the Cross, One Night",Reparto,0
Francisco Cabral,0,0,Reparto,0
João Guilherme Fonseca,0,"Amor de Mãe, Maputo",Reparto,"Prêmio Contigo, Brazil"
Leonardo Lovantino,0,Notícias Populares,Reparto,0
Kimberlly Martins,0,0,Reparto,0
Chester Shepherd,0,"The Jukebox, Will Trent: Agente Especial","Reparto,  Guion y continuidad",0
Joseph Gray,0,"Buddy, The Desiring","Reparto,  Guion,  Producción",Seattle Film Festival
Zach Humphrey,0,"Married to Crazy, The Rush Call",Reparto,0
Harrison Fowler,0,0,Reparto,0
Luca Acevedo,0,0,Reparto,0
Joan Deschamps,0,"""Shes Perfect"", Clock",Reparto,0
Luke Reed,0,0,Reparto,0
Sophia Reed,0,Bloom Flower,Reparto,0
Kyle Thomas Spencer,0,Love Is Not Allowed,Reparto,0
Asher Wagh,0,"Million Dollars, But...",Reparto,0
Destiny Leilani Brown,0,"Out of Water, 12 to Midnight","Reparto,  Equipos adicionales",Global Short Film Awards Cannes
Franko Cruz,0,Kinfolk,Reparto,0
Damaris Thomas,0,0,Reparto,0
Rashtravardhan Kataria,0,"Empty Ballad, Lost","Producción,  Edición,  Dirección",0
Bushra Farook,0,0,"Reparto,  Diseño de producción",0
J.C. Hoffman,0,"Violent True Believer, Beyond Your Consciousness - The Beginning",Reparto,Baltimore Next Media Web Fest
Landon Radics,0,0,Reparto,0
John Machesky,1990,"The Oval, Them","Reparto,  Guion,  Especialistas",0
Nils Mattias Steinberg,0,"Tähtsad ninad, Tuliliilia",Reparto,0
Priit Puusepp,0,0,Reparto,0
Enn Lond,0,0,Reparto,0
Miika Pihlak,0,"V tihom omute..., ""Jaans Day""",Reparto,0
Laura Pizzirani,0,"El cuento de los cuentos, Mycelia",Reparto,0
Roberta Palumbo,0,"""Marias Place""",Reparto,0
Mario Bois,0,"In media res, Una questione privata",Reparto,Corti in Cortile
Marco Castellani,0,0,Reparto,0
Rémi Sarmini,0,"Guilt, Fawda",Reparto,0
